accX,accY,accZ
1990.0,111.0,-1596.0
1990.2708333333333,69.5,-1596.125
1990.5416666666667,28.0,-1596.25
1990.8125,-13.5,-1596.375
1991.0833333333333,-55.0,-1596.5
1991.3541666666667,-96.5,-1596.625
1991.625,-138.0,-1596.75
1991.8958333333333,-179.5,-1596.875
1992.1666666666667,-221.0,-1597.0
1992.4375,-262.5,-1597.125
1992.7083333333333,-304.0,-1597.25
1992.9791666666667,-345.5,-1597.375
1993.25,-387.0,-1597.5
1993.5208333333333,-428.5,-1597.625
1993.7916666666667,-470.0,-1597.75
1994.0625,-511.5,-1597.875
1994.3333333333333,-553.0,-1598.0
1994.6041666666667,-594.5,-1598.125
1994.875,-636.0,-1598.25
1995.1458333333333,-677.5,-1598.375
1995.4166666666667,-719.0,-1598.5
1995.6875,-760.5,-1598.625
1995.9583333333333,-802.0,-1598.75
1996.2291666666667,-843.5,-1598.875
1996.5,-885.0,-1599.0
1996.7708333333333,-926.5,-1599.125
1997.0416666666667,-968.0,-1599.25
1997.3125,-1009.5,-1599.375
1997.5833333333333,-1051.0,-1599.5
1997.8541666666667,-1092.5,-1599.625
1998.125,-1134.0,-1599.75
1998.3958333333333,-1175.5,-1599.875
1998.6666666666667,-1217.0,-1600.0
1998.9375,-1258.5,-1600.125
1999.2083333333333,-1300.0,-1600.25
1999.4791666666667,-1341.5,-1600.375
1999.75,-1383.0,-1600.5
2000.0208333333333,-1424.5,-1600.625
2000.2916666666667,-1466.0,-1600.75
2000.5625,-1507.5,-1600.875
2000.8333333333333,-1549.0,-1601.0
2001.1041666666667,-1590.5,-1601.125
2001.375,-1632.0,-1601.25
2001.6458333333333,-1673.5,-1601.375
2001.9166666666667,-1715.0,-1601.5
2002.1875,-1756.5,-1601.625
2002.4583333333333,-1798.0,-1601.75
2002.7291666666667,-1839.5,-1601.875
2003.0,-1881.0,-1602.0
2002.7843137254902,-1881.3725490196077,-1602.0980392156862
2002.5686274509803,-1881.7450980392157,-1602.1960784313726
2002.3529411764705,-1882.1176470588234,-1602.2941176470588
2002.137254901961,-1882.4901960784314,-1602.3921568627452
2001.921568627451,-1882.862745098039,-1602.4901960784314
2001.7058823529412,-1883.235294117647,-1602.5882352941176
2001.4901960784314,-1883.6078431372548,-1602.686274509804
2001.2745098039215,-1883.9803921568628,-1602.7843137254902
2001.0588235294117,-1884.3529411764705,-1602.8823529411766
2000.8431372549019,-1884.7254901960785,-1602.9803921568628
2000.6274509803923,-1885.0980392156862,-1603.078431372549
2000.4117647058824,-1885.4705882352941,-1603.1764705882354
2000.1960784313726,-1885.8431372549019,-1603.2745098039215
1999.9803921568628,-1886.2156862745098,-1603.3725490196077
1999.764705882353,-1886.5882352941176,-1603.4705882352941
1999.549019607843,-1886.9607843137255,-1603.5686274509803
1999.3333333333333,-1887.3333333333333,-1603.6666666666667
1999.1176470588234,-1887.7058823529412,-1603.764705882353
1998.9019607843138,-1888.078431372549,-1603.862745098039
1998.686274509804,-1888.450980392157,-1603.9607843137255
1998.4705882352941,-1888.8235294117646,-1604.0588235294117
1998.2549019607843,-1889.1960784313726,-1604.1568627450981
1998.0392156862745,-1889.5686274509803,-1604.2549019607843
1997.8235294117646,-1889.9411764705883,-1604.3529411764705
1997.6078431372548,-1890.313725490196,-1604.450980392157
1997.3921568627452,-1890.686274509804,-1604.549019607843
1997.1764705882354,-1891.0588235294117,-1604.6470588235295
1996.9607843137255,-1891.4313725490197,-1604.7450980392157
1996.7450980392157,-1891.8039215686274,-1604.8431372549019
1996.5294117647059,-1892.1764705882354,-1604.9411764705883
1996.313725490196,-1892.549019607843,-1605.0392156862745
1996.0980392156862,-1892.921568627451,-1605.137254901961
1995.8823529411766,-1893.2941176470588,-1605.235294117647
1995.6666666666667,-1893.6666666666667,-1605.3333333333333
1995.450980392157,-1894.0392156862745,-1605.4313725490197
1995.235294117647,-1894.4117647058824,-1605.5294117647059
1995.0196078431372,-1894.7843137254902,-1605.6274509803923
1994.8039215686274,-1895.1568627450981,-1605.7254901960785
1994.5882352941176,-1895.5294117647059,-1605.8235294117646
1994.3725490196077,-1895.9019607843138,-1605.921568627451
1994.1568627450981,-1896.2745098039215,-1606.0196078431372
1993.9411764705883,-1896.6470588235295,-1606.1176470588234
1993.7254901960785,-1897.0196078431372,-1606.2156862745098
1993.5098039215686,-1897.3921568627452,-1606.313725490196
1993.2941176470588,-1897.764705882353,-1606.4117647058824
1993.078431372549,-1898.137254901961,-1606.5098039215686
1992.862745098039,-1898.5098039215686,-1606.6078431372548
1992.6470588235295,-1898.8823529411766,-1606.7058823529412
1992.4313725490197,-1899.2549019607843,-1606.8039215686274
1992.2156862745098,-1899.6274509803923,-1606.9019607843138
1992.0,-1900.0,-1607.0
1953.0980392156862,-1900.235294117647,-1607.1568627450981
1914.1960784313726,-1900.4705882352941,-1607.313725490196
1875.2941176470588,-1900.7058823529412,-1607.4705882352941
1836.3921568627452,-1900.9411764705883,-1607.6274509803923
1797.4901960784314,-1901.1764705882354,-1607.7843137254902
1758.5882352941176,-1901.4117647058824,-1607.9411764705883
1719.686274509804,-1901.6470588235295,-1608.0980392156862
1680.7843137254902,-1901.8823529411766,-1608.2549019607843
1641.8823529411766,-1902.1176470588234,-1608.4117647058824
1602.9803921568628,-1902.3529411764705,-1608.5686274509803
1564.078431372549,-1902.5882352941176,-1608.7254901960785
1525.1764705882354,-1902.8235294117646,-1608.8823529411766
1486.2745098039215,-1903.0588235294117,-1609.0392156862745
1447.372549019608,-1903.2941176470588,-1609.1960784313726
1408.4705882352941,-1903.5294117647059,-1609.3529411764705
1369.5686274509803,-1903.764705882353,-1609.5098039215686
1330.6666666666667,-1904.0,-1609.6666666666667
1291.7647058823532,-1904.235294117647,-1609.8235294117646
1252.8627450980393,-1904.4705882352941,-1609.9803921568628
1213.9607843137255,-1904.7058823529412,-1610.137254901961
1175.0588235294117,-1904.9411764705883,-1610.2941176470588
1136.1568627450981,-1905.1764705882354,-1610.450980392157
1097.2549019607845,-1905.4117647058824,-1610.6078431372548
1058.3529411764707,-1905.6470588235295,-1610.764705882353
1019.4509803921569,-1905.8823529411766,-1610.921568627451
980.5490196078432,-1906.1176470588234,-1611.078431372549
941.6470588235295,-1906.3529411764705,-1611.235294117647
902.7450980392157,-1906.5882352941176,-1611.3921568627452
863.8431372549021,-1906.8235294117646,-1611.549019607843
824.9411764705883,-1907.0588235294117,-1611.7058823529412
786.0392156862747,-1907.2941176470588,-1611.862745098039
747.1372549019609,-1907.5294117647059,-1612.0196078431372
708.2352941176471,-1907.764705882353,-1612.1764705882354
669.3333333333335,-1908.0,-1612.3333333333333
630.4313725490197,-1908.235294117647,-1612.4901960784314
591.5294117647061,-1908.4705882352941,-1612.6470588235295
552.6274509803923,-1908.7058823529412,-1612.8039215686274
513.7254901960785,-1908.9411764705883,-1612.9607843137255
474.82352941176487,-1909.1764705882354,-1613.1176470588234
435.92156862745105,-1909.4117647058824,-1613.2745098039215
397.01960784313746,-1909.6470588235295,-1613.4313725490197
358.11764705882365,-1909.8823529411766,-1613.5882352941176
319.21568627450984,-1910.1176470588234,-1613.7450980392157
280.31372549019625,-1910.3529411764705,-1613.9019607843138
241.41176470588243,-1910.5882352941176,-1614.0588235294117
202.50980392156885,-1910.8235294117646,-1614.2156862745098
163.60784313725503,-1911.0588235294117,-1614.3725490196077
124.70588235294144,-1911.2941176470588,-1614.5294117647059
85.80392156862763,-1911.5294117647059,-1614.686274509804
46.901960784313815,-1911.764705882353,-1614.8431372549019
8.0,-1912.0,-1615.0
49.833333333333336,-1911.9583333333333,-1616.0208333333333
91.66666666666667,-1911.9166666666667,-1617.0416666666667
133.5,-1911.875,-1618.0625
175.33333333333334,-1911.8333333333333,-1619.0833333333333
217.16666666666669,-1911.7916666666667,-1620.1041666666667
259.0,-1911.75,-1621.125
300.83333333333337,-1911.7083333333333,-1622.1458333333333
342.6666666666667,-1911.6666666666667,-1623.1666666666667
384.5,-1911.625,-1624.1875
426.33333333333337,-1911.5833333333333,-1625.2083333333333
468.1666666666667,-1911.5416666666667,-1626.2291666666667
510.0,-1911.5,-1627.25
551.8333333333334,-1911.4583333333333,-1628.2708333333333
593.6666666666667,-1911.4166666666667,-1629.2916666666667
635.5,-1911.375,-1630.3125
677.3333333333334,-1911.3333333333333,-1631.3333333333333
719.1666666666667,-1911.2916666666667,-1632.3541666666667
761.0,-1911.25,-1633.375
802.8333333333334,-1911.2083333333333,-1634.3958333333333
844.6666666666667,-1911.1666666666667,-1635.4166666666667
886.5,-1911.125,-1636.4375
928.3333333333334,-1911.0833333333333,-1637.4583333333333
970.1666666666667,-1911.0416666666667,-1638.4791666666667
1012.0,-1911.0,-1639.5
1053.8333333333335,-1910.9583333333333,-1640.5208333333333
1095.6666666666667,-1910.9166666666667,-1641.5416666666667
1137.5,-1910.875,-1642.5625
1179.3333333333335,-1910.8333333333333,-1643.5833333333333
1221.1666666666667,-1910.7916666666667,-1644.6041666666667
1263.0,-1910.75,-1645.625
1304.8333333333335,-1910.7083333333333,-1646.6458333333333
1346.6666666666667,-1910.6666666666667,-1647.6666666666667
1388.5,-1910.625,-1648.6875
1430.3333333333335,-1910.5833333333333,-1649.7083333333333
1472.1666666666667,-1910.5416666666667,-1650.7291666666667
1514.0,-1910.5,-1651.75
1555.8333333333335,-1910.4583333333333,-1652.7708333333333
1597.6666666666667,-1910.4166666666667,-1653.7916666666667
1639.5,-1910.375,-1654.8125
1681.3333333333335,-1910.3333333333333,-1655.8333333333333
1723.1666666666667,-1910.2916666666667,-1656.8541666666667
1765.0,-1910.25,-1657.875
1806.8333333333335,-1910.2083333333333,-1658.8958333333333
1848.6666666666667,-1910.1666666666667,-1659.9166666666667
1890.5,-1910.125,-1660.9375
1932.3333333333335,-1910.0833333333333,-1661.9583333333333
1974.1666666666667,-1910.0416666666667,-1662.9791666666667
2016.0,-1910.0,-1664.0
1977.0980392156862,-1910.0,-1620.235294117647
1938.1960784313726,-1910.0,-1576.4705882352941
1899.2941176470588,-1910.0,-1532.7058823529412
1860.3921568627452,-1910.0,-1488.9411764705883
1821.4901960784314,-1910.0,-1445.1764705882354
1782.5882352941176,-1910.0,-1401.4117647058824
1743.686274509804,-1910.0,-1357.6470588235293
1704.7843137254902,-1910.0,-1313.8823529411766
1665.8823529411766,-1910.0,-1270.1176470588234
1626.9803921568628,-1910.0,-1226.3529411764707
1588.078431372549,-1910.0,-1182.5882352941176
1549.1764705882354,-1910.0,-1138.8235294117646
1510.2745098039215,-1910.0,-1095.0588235294117
1471.372549019608,-1910.0,-1051.2941176470588
1432.4705882352941,-1910.0,-1007.5294117647059
1393.5686274509803,-1910.0,-963.7647058823529
1354.6666666666667,-1910.0,-920.0
1315.7647058823532,-1910.0,-876.2352941176471
1276.8627450980393,-1910.0,-832.4705882352941
1237.9607843137255,-1910.0,-788.7058823529412
1199.0588235294117,-1910.0,-744.9411764705882
1160.1568627450981,-1910.0,-701.1764705882352
1121.2549019607845,-1910.0,-657.4117647058823
1082.3529411764707,-1910.0,-613.6470588235293
1043.450980392157,-1910.0,-569.8823529411764
1004.5490196078432,-1910.0,-526.1176470588234
965.6470588235295,-1910.0,-482.3529411764705
926.7450980392157,-1910.0,-438.58823529411757
887.8431372549021,-1910.0,-394.82352941176464
848.9411764705883,-1910.0,-351.0588235294117
810.0392156862747,-1910.0,-307.2941176470588
771.1372549019609,-1910.0,-263.52941176470586
732.2352941176471,-1910.0,-219.76470588235293
693.3333333333335,-1910.0,-176.0
654.4313725490197,-1910.0,-132.23529411764707
615.5294117647061,-1910.0,-88.47058823529414
576.6274509803923,-1910.0,-44.70588235294122
537.7254901960785,-1910.0,-0.9411764705882888
498.82352941176487,-1910.0,42.82352941176464
459.92156862745105,-1910.0,86.58823529411757
421.01960784313746,-1910.0,130.35294117647072
382.11764705882365,-1910.0,174.11764705882365
343.21568627450984,-1910.0,217.88235294117658
304.31372549019625,-1910.0,261.6470588235295
265.41176470588243,-1910.0,305.41176470588243
226.50980392156885,-1910.0,349.17647058823536
187.60784313725503,-1910.0,392.9411764705883
148.70588235294144,-1910.0,436.70588235294144
109.80392156862763,-1910.0,480.47058823529414
70.90196078431381,-1910.0,524.2352941176473
32.0,-1910.0,568.0
71.05882352941177,-1909.9411764705883,524.9803921568628
110.11764705882354,-1909.8823529411766,481.96078431372547
149.1764705882353,-1909.8235294117646,438.94117647058823
188.23529411764707,-1909.764705882353,395.92156862745094
227.29411764705884,-1909.7058823529412,352.9019607843137
266.3529411764706,-1909.6470588235295,309.88235294117646
305.4117647058824,-1909.5882352941176,266.86274509803917
344.47058823529414,-1909.5294117647059,223.84313725490193
383.5294117647059,-1909.4705882352941,180.8235294117647
422.5882352941177,-1909.4117647058824,137.8039215686274
461.64705882352945,-1909.3529411764705,94.78431372549016
500.7058823529412,-1909.2941176470588,51.76470588235293
539.7647058823529,-1909.235294117647,8.74509803921569
578.8235294117648,-1909.1764705882354,-34.27450980392166
617.8823529411766,-1909.1176470588234,-77.2941176470589
656.9411764705883,-1909.0588235294117,-120.31372549019613
696.0,-1909.0,-163.33333333333337
735.0588235294118,-1908.9411764705883,-206.3529411764706
774.1176470588236,-1908.8823529411766,-249.37254901960796
813.1764705882354,-1908.8235294117646,-292.3921568627452
852.2352941176471,-1908.764705882353,-335.41176470588243
891.2941176470589,-1908.7058823529412,-378.43137254901967
930.3529411764707,-1908.6470588235295,-421.4509803921569
969.4117647058824,-1908.5882352941176,-464.47058823529414
1008.4705882352941,-1908.5294117647059,-507.4901960784314
1047.5294117647059,-1908.4705882352941,-550.5098039215686
1086.5882352941178,-1908.4117647058824,-593.5294117647061
1125.6470588235295,-1908.3529411764705,-636.5490196078433
1164.7058823529412,-1908.2941176470588,-679.5686274509806
1203.7647058823532,-1908.235294117647,-722.5882352941178
1242.8235294117649,-1908.1764705882354,-765.607843137255
1281.8823529411766,-1908.1176470588234,-808.6274509803923
1320.9411764705883,-1908.0588235294117,-851.6470588235295
1360.0,-1908.0,-894.6666666666667
1399.058823529412,-1907.9411764705883,-937.686274509804
1438.1176470588236,-1907.8823529411766,-980.7058823529412
1477.1764705882354,-1907.8235294117646,-1023.7254901960785
1516.2352941176473,-1907.764705882353,-1066.745098039216
1555.294117647059,-1907.7058823529412,-1109.7647058823532
1594.3529411764707,-1907.6470588235295,-1152.7843137254904
1633.4117647058824,-1907.5882352941176,-1195.8039215686276
1672.4705882352941,-1907.5294117647059,-1238.8235294117649
1711.529411764706,-1907.4705882352941,-1281.843137254902
1750.5882352941178,-1907.4117647058824,-1324.8627450980393
1789.6470588235295,-1907.3529411764705,-1367.8823529411766
1828.7058823529414,-1907.2941176470588,-1410.9019607843138
1867.7647058823532,-1907.235294117647,-1453.921568627451
1906.8235294117649,-1907.1764705882354,-1496.9411764705883
1945.8823529411766,-1907.1176470588234,-1539.9607843137255
1984.9411764705883,-1907.0588235294117,-1582.9803921568628
2024.0,-1907.0,-1626.0
2024.078431372549,-1905.9411764705883,-1625.0196078431372
2024.1568627450981,-1904.8823529411766,-1624.0392156862745
2024.235294117647,-1903.8235294117646,-1623.0588235294117
2024.313725490196,-1902.764705882353,-1622.078431372549
2024.3921568627452,-1901.7058823529412,-1621.0980392156862
2024.4705882352941,-1900.6470588235295,-1620.1176470588234
2024.549019607843,-1899.5882352941176,-1619.137254901961
2024.6274509803923,-1898.5294117647059,-1618.1568627450981
2024.7058823529412,-1897.4705882352941,-1617.1764705882354
2024.7843137254902,-1896.4117647058824,-1616.1960784313726
2024.862745098039,-1895.3529411764705,-1615.2156862745098
2024.9411764705883,-1894.2941176470588,-1614.235294117647
2025.0196078431372,-1893.235294117647,-1613.2549019607843
2025.0980392156862,-1892.1764705882354,-1612.2745098039215
2025.1764705882354,-1891.1176470588234,-1611.2941176470588
2025.2549019607843,-1890.0588235294117,-1610.313725490196
2025.3333333333333,-1889.0,-1609.3333333333333
2025.4117647058824,-1887.9411764705883,-1608.3529411764705
2025.4901960784314,-1886.8823529411766,-1607.372549019608
2025.5686274509803,-1885.8235294117646,-1606.3921568627452
2025.6470588235295,-1884.764705882353,-1605.4117647058824
2025.7254901960785,-1883.7058823529412,-1604.4313725490197
2025.8039215686274,-1882.6470588235295,-1603.450980392157
2025.8823529411766,-1881.5882352941176,-1602.4705882352941
2025.9607843137255,-1880.5294117647059,-1601.4901960784314
2026.0392156862745,-1879.4705882352941,-1600.5098039215686
2026.1176470588234,-1878.4117647058824,-1599.5294117647059
2026.1960784313726,-1877.3529411764705,-1598.549019607843
2026.2745098039215,-1876.2941176470588,-1597.5686274509803
2026.3529411764705,-1875.235294117647,-1596.5882352941176
2026.4313725490197,-1874.1764705882354,-1595.6078431372548
2026.5098039215686,-1873.1176470588234,-1594.6274509803923
2026.5882352941176,-1872.0588235294117,-1593.6470588235295
2026.6666666666667,-1871.0,-1592.6666666666667
2026.7450980392157,-1869.9411764705883,-1591.686274509804
2026.8235294117646,-1868.8823529411766,-1590.7058823529412
2026.9019607843138,-1867.8235294117646,-1589.7254901960785
2026.9803921568628,-1866.764705882353,-1588.7450980392157
2027.0588235294117,-1865.7058823529412,-1587.764705882353
2027.137254901961,-1864.6470588235295,-1586.7843137254902
2027.2156862745098,-1863.5882352941176,-1585.8039215686274
2027.2941176470588,-1862.5294117647059,-1584.8235294117646
2027.3725490196077,-1861.4705882352941,-1583.8431372549019
2027.450980392157,-1860.4117647058824,-1582.862745098039
2027.5294117647059,-1859.3529411764705,-1581.8823529411766
2027.6078431372548,-1858.2941176470588,-1580.9019607843138
2027.686274509804,-1857.235294117647,-1579.921568627451
2027.764705882353,-1856.1764705882354,-1578.9411764705883
2027.8431372549019,-1855.1176470588234,-1577.9607843137255
2027.921568627451,-1854.0588235294117,-1576.9803921568628
2028.0,-1853.0,-1576.0
2027.7450980392157,-1853.686274509804,-1576.7254901960785
2027.4901960784314,-1854.3725490196077,-1577.450980392157
2027.235294117647,-1855.0588235294117,-1578.1764705882354
2026.9803921568628,-1855.7450980392157,-1578.9019607843138
2026.7254901960785,-1856.4313725490197,-1579.6274509803923
2026.4705882352941,-1857.1176470588234,-1580.3529411764705
2026.2156862745098,-1857.8039215686274,-1581.078431372549
2025.9607843137255,-1858.4901960784314,-1581.8039215686274
2025.7058823529412,-1859.1764705882354,-1582.5294117647059
2025.450980392157,-1859.862745098039,-1583.2549019607843
2025.1960784313726,-1860.549019607843,-1583.9803921568628
2024.9411764705883,-1861.235294117647,-1584.7058823529412
2024.686274509804,-1861.921568627451,-1585.4313725490197
2024.4313725490197,-1862.6078431372548,-1586.1568627450981
2024.1764705882354,-1863.2941176470588,-1586.8823529411766
2023.921568627451,-1863.9803921568628,-1587.6078431372548
2023.6666666666667,-1864.6666666666667,-1588.3333333333333
2023.4117647058824,-1865.3529411764705,-1589.0588235294117
2023.1568627450981,-1866.0392156862745,-1589.7843137254902
2022.9019607843138,-1866.7254901960785,-1590.5098039215686
2022.6470588235295,-1867.4117647058824,-1591.235294117647
2022.3921568627452,-1868.0980392156862,-1591.9607843137255
2022.137254901961,-1868.7843137254902,-1592.686274509804
2021.8823529411766,-1869.4705882352941,-1593.4117647058824
2021.6274509803923,-1870.1568627450981,-1594.137254901961
2021.3725490196077,-1870.8431372549019,-1594.862745098039
2021.1176470588234,-1871.5294117647059,-1595.5882352941176
2020.862745098039,-1872.2156862745098,-1596.313725490196
2020.6078431372548,-1872.9019607843138,-1597.0392156862745
2020.3529411764705,-1873.5882352941176,-1597.764705882353
2020.0980392156862,-1874.2745098039215,-1598.4901960784314
2019.8431372549019,-1874.9607843137255,-1599.2156862745098
2019.5882352941176,-1875.6470588235295,-1599.9411764705883
2019.3333333333333,-1876.3333333333333,-1600.6666666666667
2019.078431372549,-1877.0196078431372,-1601.3921568627452
2018.8235294117646,-1877.7058823529412,-1602.1176470588234
2018.5686274509803,-1878.3921568627452,-1602.8431372549019
2018.313725490196,-1879.078431372549,-1603.5686274509803
2018.0588235294117,-1879.764705882353,-1604.2941176470588
2017.8039215686274,-1880.450980392157,-1605.0196078431372
2017.549019607843,-1881.137254901961,-1605.7450980392157
2017.2941176470588,-1881.8235294117646,-1606.4705882352941
2017.0392156862745,-1882.5098039215686,-1607.1960784313726
2016.7843137254902,-1883.1960784313726,-1607.921568627451
2016.5294117647059,-1883.8823529411766,-1608.6470588235295
2016.2745098039215,-1884.5686274509803,-1609.372549019608
2016.0196078431372,-1885.2549019607843,-1610.0980392156862
2015.764705882353,-1885.9411764705883,-1610.8235294117646
2015.5098039215686,-1886.627450980392,-1611.549019607843
2015.2549019607843,-1887.313725490196,-1612.2745098039215
2015.0,-1888.0,-1613.0
1978.6666666666667,-1850.851851851852,-1612.7592592592594
1942.3333333333333,-1813.7037037037037,-1612.5185185185185
1906.0,-1776.5555555555557,-1612.2777777777778
1869.6666666666667,-1739.4074074074074,-1612.037037037037
1833.3333333333333,-1702.2592592592594,-1611.7962962962963
1797.0,-1665.111111111111,-1611.5555555555557
1760.6666666666667,-1627.962962962963,-1611.3148148148148
1724.3333333333333,-1590.8148148148148,-1611.0740740740741
1688.0,-1553.6666666666667,-1610.8333333333333
1651.6666666666665,-1516.5185185185185,-1610.5925925925926
1615.3333333333333,-1479.3703703703704,-1610.351851851852
1579.0,-1442.2222222222222,-1610.111111111111
1542.6666666666665,-1405.0740740740741,-1609.8703703703704
1506.3333333333333,-1367.925925925926,-1609.6296296296296
1470.0,-1330.7777777777778,-1609.388888888889
